"filename", "language", "CSS", "JavaScript", "JavaScript JSX", "comment", "blank", "total"
"g:\Projects\AnimovixRecommendations\animovix\pages\Anime.jsx", "JavaScript JSX", 0, 0, -276, -21, -20, -317
"g:\Projects\AnimovixRecommendations\animovix\pages\AnimeSeries\[id].jsx", "JavaScript JSX", 0, 0, -146, -4, -13, -163
"g:\Projects\AnimovixRecommendations\animovix\pages\AnimeSeries\index.jsx", "JavaScript JSX", 0, 0, -16, 0, -5, -21
"g:\Projects\AnimovixRecommendations\animovix\pages\Feedback.jsx", "JavaScript JSX", 0, 0, -108, -2, -18, -128
"g:\Projects\AnimovixRecommendations\animovix\pages\Manga.jsx", "JavaScript JSX", 0, 0, -280, -14, -19, -313
"g:\Projects\AnimovixRecommendations\animovix\pages\MangaSeries\[id].jsx", "JavaScript JSX", 0, 0, -146, -7, -14, -167
"g:\Projects\AnimovixRecommendations\animovix\pages\MangaSeries\index.jsx", "JavaScript JSX", 0, 0, -16, 0, -5, -21
"g:\Projects\AnimovixRecommendations\animovix\pages\Movies.jsx", "JavaScript JSX", 0, 0, -278, -14, -19, -311
"g:\Projects\AnimovixRecommendations\animovix\pages\Profile.jsx", "JavaScript JSX", 0, 0, -286, -6, -17, -309
"g:\Projects\AnimovixRecommendations\animovix\pages\_app.js", "JavaScript", 0, -49, 0, -4, -10, -63
"g:\Projects\AnimovixRecommendations\animovix\pages\_document.js", "JavaScript", 0, -26, 0, -2, -4, -32
"g:\Projects\AnimovixRecommendations\animovix\pages\api\hello.js", "JavaScript", 0, -4, 0, -1, -1, -6
"g:\Projects\AnimovixRecommendations\animovix\pages\index.js", "JavaScript", 0, -272, 0, -5, -24, -301
"g:\Projects\AnimovixRecommendations\animovix\styles\AnimeSeries.module.css", "CSS", 60, 0, 0, 0, 7, 67
"g:\Projects\AnimovixRecommendations\animovix\styles\Animecardquery.module.css", "CSS", 9, 0, 0, 0, 1, 10
"g:\Projects\AnimovixRecommendations\animovix\styles\Animemodal.module.css", "CSS", 150, 0, 0, 1, 17, 168
"g:\Projects\AnimovixRecommendations\animovix\styles\CommentDesign.module.css", "CSS", 92, 0, 0, 0, 11, 103
"g:\Projects\AnimovixRecommendations\animovix\styles\CommentForm.module.css", "CSS", 28, 0, 0, 0, 6, 34
"g:\Projects\AnimovixRecommendations\animovix\styles\Feedback.module.css", "CSS", 185, 0, 0, 3, 21, 209
"g:\Projects\AnimovixRecommendations\animovix\styles\Home.module.css", "CSS", 240, 0, 0, 15, 43, 298
"g:\Projects\AnimovixRecommendations\animovix\styles\Moviemodal.module.css", "CSS", 117, 0, 0, 1, 17, 135
"g:\Projects\AnimovixRecommendations\animovix\styles\Navbar.module.css", "CSS", 13, 0, 0, 0, 3, 16
"g:\Projects\AnimovixRecommendations\animovix\styles\Profile.module.css", "CSS", 221, 0, 0, 12, 22, 255
"g:\Projects\AnimovixRecommendations\animovix\styles\Resultcard.module.css", "CSS", 26, 0, 0, 0, 4, 30
"g:\Projects\AnimovixRecommendations\animovix\styles\Search.module.css", "CSS", 110, 0, 0, 12, 17, 139
"g:\Projects\AnimovixRecommendations\animovix\styles\Skeleton.module.css", "CSS", 35, 0, 0, 0, 4, 39
"g:\Projects\AnimovixRecommendations\animovix\styles\comment.module.css", "CSS", 32, 0, 0, 0, 6, 38
"g:\Projects\AnimovixRecommendations\animovix\styles\globals.css", "CSS", 6, 0, 0, 108, 2, 116
"Total", "-", 1324, -351, -1552, 72, 12, -495
