"filename", "language", "JavaScript JSX", "CSS", "comment", "blank", "total"
"g:\Projects\AnimovixRecommendations\animovix\Components\Animecardquery.jsx", "JavaScript JSX", 41, 0, 1, 3, 45
"g:\Projects\AnimovixRecommendations\animovix\Components\Animemodal.jsx", "JavaScript JSX", 296, 0, 4, 29, 329
"g:\Projects\AnimovixRecommendations\animovix\Components\Animeresultcard.jsx", "JavaScript JSX", 156, 0, 27, 13, 196
"g:\Projects\AnimovixRecommendations\animovix\Components\Mangacardquery.jsx", "JavaScript JSX", 40, 0, 11, 3, 54
"g:\Projects\AnimovixRecommendations\animovix\Components\Mangamodal.jsx", "JavaScript JSX", 211, 0, 19, 25, 255
"g:\Projects\AnimovixRecommendations\animovix\Components\Mangarecommendations.jsx", "JavaScript JSX", 30, 0, 1, 5, 36
"g:\Projects\AnimovixRecommendations\animovix\Components\Mangaresultcard.jsx", "JavaScript JSX", 146, 0, 27, 12, 185
"g:\Projects\AnimovixRecommendations\animovix\Components\Moviecardquery.jsx", "JavaScript JSX", 40, 0, 11, 3, 54
"g:\Projects\AnimovixRecommendations\animovix\Components\Moviemodal.jsx", "JavaScript JSX", 159, 0, 7, 13, 179
"g:\Projects\AnimovixRecommendations\animovix\Components\Movieresultcard.jsx", "JavaScript JSX", 138, 0, 19, 10, 167
"g:\Projects\AnimovixRecommendations\animovix\Components\Navbar.jsx", "JavaScript JSX", 144, 0, 14, 14, 172
"g:\Projects\AnimovixRecommendations\animovix\Components\Presscard.jsx", "JavaScript JSX", 43, 0, 0, 3, 46
"g:\Projects\AnimovixRecommendations\animovix\Components\Profilecard.jsx", "JavaScript JSX", 176, 0, 7, 12, 195
"g:\Projects\AnimovixRecommendations\animovix\Components\Recommendations.jsx", "JavaScript JSX", 30, 0, 1, 6, 37
"g:\Projects\AnimovixRecommendations\animovix\Components\Recommends.jsx", "JavaScript JSX", 7, 0, 0, 2, 9
"g:\Projects\AnimovixRecommendations\animovix\Components\Searchanime.jsx", "JavaScript JSX", 60, 0, 5, 7, 72
"g:\Projects\AnimovixRecommendations\animovix\Components\Skeleton.jsx", "JavaScript JSX", 15, 0, 1, 6, 22
"g:\Projects\AnimovixRecommendations\animovix\Components\Tab.jsx", "JavaScript JSX", 19, 0, 0, 6, 25
"g:\Projects\AnimovixRecommendations\animovix\Components\discussion\Comment.jsx", "JavaScript JSX", 70, 0, 0, 6, 76
"g:\Projects\AnimovixRecommendations\animovix\Components\discussion\CommentDesign.jsx", "JavaScript JSX", 31, 0, 16, 6, 53
"g:\Projects\AnimovixRecommendations\animovix\Components\discussion\CommentForm.jsx", "JavaScript JSX", 65, 0, 0, 8, 73
"g:\Projects\AnimovixRecommendations\animovix\Components\discussion\CommentsSection.jsx", "JavaScript JSX", 44, 0, 1, 8, 53
"g:\Projects\AnimovixRecommendations\animovix\styles\AnimeSeries.module.css", "CSS", 0, -60, 0, -7, -67
"g:\Projects\AnimovixRecommendations\animovix\styles\Animecardquery.module.css", "CSS", 0, -9, 0, -1, -10
"g:\Projects\AnimovixRecommendations\animovix\styles\Animemodal.module.css", "CSS", 0, -150, -1, -17, -168
"g:\Projects\AnimovixRecommendations\animovix\styles\CommentDesign.module.css", "CSS", 0, -92, 0, -11, -103
"g:\Projects\AnimovixRecommendations\animovix\styles\CommentForm.module.css", "CSS", 0, -28, 0, -6, -34
"g:\Projects\AnimovixRecommendations\animovix\styles\Feedback.module.css", "CSS", 0, -185, -3, -21, -209
"g:\Projects\AnimovixRecommendations\animovix\styles\Home.module.css", "CSS", 0, -240, -15, -43, -298
"g:\Projects\AnimovixRecommendations\animovix\styles\Moviemodal.module.css", "CSS", 0, -117, -1, -17, -135
"g:\Projects\AnimovixRecommendations\animovix\styles\Navbar.module.css", "CSS", 0, -13, 0, -3, -16
"g:\Projects\AnimovixRecommendations\animovix\styles\Profile.module.css", "CSS", 0, -221, -12, -22, -255
"g:\Projects\AnimovixRecommendations\animovix\styles\Resultcard.module.css", "CSS", 0, -26, 0, -4, -30
"g:\Projects\AnimovixRecommendations\animovix\styles\Search.module.css", "CSS", 0, -110, -12, -17, -139
"g:\Projects\AnimovixRecommendations\animovix\styles\Skeleton.module.css", "CSS", 0, -35, 0, -4, -39
"g:\Projects\AnimovixRecommendations\animovix\styles\comment.module.css", "CSS", 0, -32, 0, -6, -38
"g:\Projects\AnimovixRecommendations\animovix\styles\globals.css", "CSS", 0, -6, -108, -2, -116
"Total", "-", 1961, -1324, 20, 19, 676
