"filename", "language", "JavaScript", "JavaScript JSX", "comment", "blank", "total"
"g:\Projects\AnimovixRecommendations\animovix\Components\Animecardquery.jsx", "JavaScript JSX", 0, -41, -1, -3, -45
"g:\Projects\AnimovixRecommendations\animovix\Components\Animemodal.jsx", "JavaScript JSX", 0, -296, -4, -29, -329
"g:\Projects\AnimovixRecommendations\animovix\Components\Animeresultcard.jsx", "JavaScript JSX", 0, -156, -27, -13, -196
"g:\Projects\AnimovixRecommendations\animovix\Components\Mangacardquery.jsx", "JavaScript JSX", 0, -40, -11, -3, -54
"g:\Projects\AnimovixRecommendations\animovix\Components\Mangamodal.jsx", "JavaScript JSX", 0, -211, -19, -25, -255
"g:\Projects\AnimovixRecommendations\animovix\Components\Mangarecommendations.jsx", "JavaScript JSX", 0, -30, -1, -5, -36
"g:\Projects\AnimovixRecommendations\animovix\Components\Mangaresultcard.jsx", "JavaScript JSX", 0, -146, -27, -12, -185
"g:\Projects\AnimovixRecommendations\animovix\Components\Moviecardquery.jsx", "JavaScript JSX", 0, -40, -11, -3, -54
"g:\Projects\AnimovixRecommendations\animovix\Components\Moviemodal.jsx", "JavaScript JSX", 0, -159, -7, -13, -179
"g:\Projects\AnimovixRecommendations\animovix\Components\Movieresultcard.jsx", "JavaScript JSX", 0, -138, -19, -10, -167
"g:\Projects\AnimovixRecommendations\animovix\Components\Navbar.jsx", "JavaScript JSX", 0, -144, -14, -14, -172
"g:\Projects\AnimovixRecommendations\animovix\Components\Presscard.jsx", "JavaScript JSX", 0, -43, 0, -3, -46
"g:\Projects\AnimovixRecommendations\animovix\Components\Profilecard.jsx", "JavaScript JSX", 0, -176, -7, -12, -195
"g:\Projects\AnimovixRecommendations\animovix\Components\Recommendations.jsx", "JavaScript JSX", 0, -30, -1, -6, -37
"g:\Projects\AnimovixRecommendations\animovix\Components\Recommends.jsx", "JavaScript JSX", 0, -7, 0, -2, -9
"g:\Projects\AnimovixRecommendations\animovix\Components\Searchanime.jsx", "JavaScript JSX", 0, -60, -5, -7, -72
"g:\Projects\AnimovixRecommendations\animovix\Components\Skeleton.jsx", "JavaScript JSX", 0, -15, -1, -6, -22
"g:\Projects\AnimovixRecommendations\animovix\Components\Tab.jsx", "JavaScript JSX", 0, -19, 0, -6, -25
"g:\Projects\AnimovixRecommendations\animovix\Components\discussion\Comment.jsx", "JavaScript JSX", 0, -70, 0, -6, -76
"g:\Projects\AnimovixRecommendations\animovix\Components\discussion\CommentDesign.jsx", "JavaScript JSX", 0, -31, -16, -6, -53
"g:\Projects\AnimovixRecommendations\animovix\Components\discussion\CommentForm.jsx", "JavaScript JSX", 0, -65, 0, -8, -73
"g:\Projects\AnimovixRecommendations\animovix\Components\discussion\CommentsSection.jsx", "JavaScript JSX", 0, -44, -1, -8, -53
"g:\Projects\AnimovixRecommendations\animovix\pages\Anime.jsx", "JavaScript JSX", 0, 276, 21, 20, 317
"g:\Projects\AnimovixRecommendations\animovix\pages\AnimeSeries\[id].jsx", "JavaScript JSX", 0, 146, 4, 13, 163
"g:\Projects\AnimovixRecommendations\animovix\pages\AnimeSeries\index.jsx", "JavaScript JSX", 0, 16, 0, 5, 21
"g:\Projects\AnimovixRecommendations\animovix\pages\Feedback.jsx", "JavaScript JSX", 0, 108, 2, 18, 128
"g:\Projects\AnimovixRecommendations\animovix\pages\Manga.jsx", "JavaScript JSX", 0, 280, 14, 19, 313
"g:\Projects\AnimovixRecommendations\animovix\pages\MangaSeries\[id].jsx", "JavaScript JSX", 0, 146, 7, 14, 167
"g:\Projects\AnimovixRecommendations\animovix\pages\MangaSeries\index.jsx", "JavaScript JSX", 0, 16, 0, 5, 21
"g:\Projects\AnimovixRecommendations\animovix\pages\Movies.jsx", "JavaScript JSX", 0, 278, 14, 19, 311
"g:\Projects\AnimovixRecommendations\animovix\pages\Profile.jsx", "JavaScript JSX", 0, 286, 6, 17, 309
"g:\Projects\AnimovixRecommendations\animovix\pages\_app.js", "JavaScript", 49, 0, 4, 10, 63
"g:\Projects\AnimovixRecommendations\animovix\pages\_document.js", "JavaScript", 26, 0, 2, 4, 32
"g:\Projects\AnimovixRecommendations\animovix\pages\api\hello.js", "JavaScript", 4, 0, 1, 1, 6
"g:\Projects\AnimovixRecommendations\animovix\pages\index.js", "JavaScript", 272, 0, 5, 24, 301
"Total", "-", 351, -409, -92, -31, -181
